CAMKMT_K5,AP000462.1_K4,FADS2_K5,AL136322.1_K2,CRISPLD1_K5,CELF2-AS2_K4,AL359715.1_K8,CD38_K5,AC008957.2_K4,AC006355.2_K2,AC097537.1_K2,RIMS1_K4,CACNB2_K9,AC109927.1_K8,LRMDA_K8,PAQR6_K2,RHD_K4,CACNB2_K2,RIMS1_K8,SOX5_K4,AC091885.2_K4,MRVI1_K8,AC008957.2_K2,KREMEN1_K8,AC010260.1_K4,MRVI1-AS1_K4,SOX5_K2,RANBP3L_K8,AC008957.1_K2,SYCP3_K2,ATP8A1_K5,AP003025.1_K4,AL512422.1_K4,MRAS_K2,AP001825.1_K2,A2ML1-AS1_K2,RETREG1_K5,AC079385.1_K4,RIMS1_K2,SGCD_K8,SASH1_K2,SASH1_K4,MRAS_K8,SENP7_K5,AL078459.1_K2,AL390774.2_K4,RFX3-AS1_K5,P2RY14_K4,C1QTNF7_K2,P4HA3_K4,SGCD_K4,OXR1_K5,PCDH9-AS1_K2,LRP4-AS1_K4,ITGB4_K5,CD44_K5,NFASC_K5,AC112196.1_K2,AC023051.1_K2,AL157938.2_K2,AC011092.2_K2,AC093879.1_K4,AL117339.5_K5,LIX1_K8,ARMH1_K8,TTYH2_K2,PITPNC1_K8,AHCYL2_K5,TSHZ2_K5,PCDH9-AS3_K4,SMS_K2,PCDH9-AS2_K4,AC109927.1_K5,RANBP3L_K4,AC093879.1_K2,AP003025.2_K4,AC093110.1_K4,MAN1C1_K5,PCDH9-AS4_K4,CA5B_K8,FADS2_K8,NOTCH2_K5,AC137767.1_K2,STUM_K5,AP001011.1_K2,AC016723.1_K4,CELF2-AS2_K2,PLPP1_K8,C8orf37-AS1_K5,AP003086.2_K4,LINC00903_K4,ALDH1A1_K5,AL137145.2_K5,ARMH1_K5,AP000462.1_K2,RORA-AS1_K4,IDH2-DT_K5,AP001172.1_K4,AP006621.3_K8,ANGPTL4_K8,SLC44A3_K8,RGL1_K8,BNC2_K5,VAV3_K4,RANBP3L_K2,SLC39A12_K8,PPP2R1B_K5,PDE4D_K5,AC022395.1_K4,PDE3B_K2,SLC39A12_K4,PUM1_K2,ALPK1_K5,AC016716.2_K2,AC012358.3_K2,P2RY12_K4,SPATA1_K4,AL365356.1_K4,AC022558.2_K4,PLPP1_K4,CPE_K8,RNF115_K2,UBXN2B_K2,LPIN2_K5,TRIM8_K5,A2ML1-AS1_K4,HEPN1_K4,IQGAP1_K2,TMEM164_K8,GNG12-AS1_K4,PPM1B_K5,SGCD_K2,YBX3_K5,LMOD1_K8,EPS15_K5,AL358154.1_K2,PDE3B_K4,POU6F2_K4,ZNF451-AS1_K4,PROCR_K4,SLC6A1-AS1_K4,AC008957.1_K4,SOX5_K8,SIN3A_K8,YBX3_K8,EFCAB6_K8,SCARA3_K8,ABI1_K5,RAB11FIP2_K5,ATP2B2_K8,PPIE_K5,TXNIP_K8,ALDH1A1_K8,ABI3BP_K5,AC007014.1_K4,AL442071.1_K4
Gene,CAMKMT,AP000462.1,FADS2,AL136322.1,CRISPLD1,CELF2-AS2,AL359715.1,CD38,AC008957.2,AC006355.2,AC097537.1,RIMS1,CACNB2,AC109927.1,LRMDA,PAQR6,RHD,CACNB2,RIMS1,SOX5,AC091885.2,MRVI1,AC008957.2,KREMEN1,AC010260.1,MRVI1-AS1,SOX5,RANBP3L,AC008957.1,SYCP3,ATP8A1,AP003025.1,AL512422.1,MRAS,AP001825.1,A2ML1-AS1,RETREG1,AC079385.1,RIMS1,SGCD,SASH1,SASH1,MRAS,SENP7,AL078459.1,AL390774.2,RFX3-AS1,P2RY14,C1QTNF7,P4HA3,SGCD,OXR1,PCDH9-AS1,LRP4-AS1,ITGB4,CD44,NFASC,AC112196.1,AC023051.1,AL157938.2,AC011092.2,AC093879.1,AL117339.5,LIX1,ARMH1,TTYH2,PITPNC1,AHCYL2,TSHZ2,PCDH9-AS3,SMS,PCDH9-AS2,AC109927.1,RANBP3L,AC093879.1,AP003025.2,AC093110.1,MAN1C1,PCDH9-AS4,CA5B,FADS2,NOTCH2,AC137767.1,STUM,AP001011.1,AC016723.1,CELF2-AS2,PLPP1,C8orf37-AS1,AP003086.2,LINC00903,ALDH1A1,AL137145.2,ARMH1,AP000462.1,RORA-AS1,IDH2-DT,AP001172.1,AP006621.3,ANGPTL4,SLC44A3,RGL1,BNC2,VAV3,RANBP3L,SLC39A12,PPP2R1B,PDE4D,AC022395.1,PDE3B,SLC39A12,PUM1,ALPK1,AC016716.2,AC012358.3,P2RY12,SPATA1,AL365356.1,AC022558.2,PLPP1,CPE,RNF115,UBXN2B,LPIN2,TRIM8,A2ML1-AS1,HEPN1,IQGAP1,TMEM164,GNG12-AS1,PPM1B,SGCD,YBX3,LMOD1,EPS15,AL358154.1,PDE3B,POU6F2,ZNF451-AS1,PROCR,SLC6A1-AS1,AC008957.1,SOX5,SIN3A,YBX3,EFCAB6,SCARA3,ABI1,RAB11FIP2,ATP2B2,PPIE,TXNIP,ALDH1A1,ABI3BP,AC007014.1,AL442071.1
CeldaCluster,K5,K4,K5,K2,K5,K4,K8,K5,K4,K2,K2,K4,K9,K8,K8,K2,K4,K2,K8,K4,K4,K8,K2,K8,K4,K4,K2,K8,K2,K2,K5,K4,K4,K2,K2,K2,K5,K4,K2,K8,K2,K4,K8,K5,K2,K4,K5,K4,K2,K4,K4,K5,K2,K4,K5,K5,K5,K2,K2,K2,K2,K4,K5,K8,K8,K2,K8,K5,K5,K4,K2,K4,K5,K4,K2,K4,K4,K5,K4,K8,K8,K5,K2,K5,K2,K4,K2,K8,K5,K4,K4,K5,K5,K5,K2,K4,K5,K4,K8,K8,K8,K8,K5,K4,K2,K8,K5,K5,K4,K2,K4,K2,K5,K2,K2,K4,K4,K4,K4,K4,K8,K2,K2,K5,K5,K4,K4,K2,K8,K4,K5,K2,K5,K8,K5,K2,K4,K4,K4,K4,K4,K4,K8,K8,K8,K8,K8,K5,K5,K8,K5,K8,K8,K5,K4,K4
GeneModule,L56,L27,L39,L27,L8,L27,L39,L39,L27,L27,L27,L28,L28,L39,L53,L27,L27,L28,L28,L32,L27,L53,L27,L39,L27,L27,L32,L32,L27,L27,L56,L27,L27,L32,L27,L27,L8,L27,L28,L28,L32,L32,L32,L56,L27,L27,L39,L27,L27,L27,L28,L56,L27,L27,L39,L8,L8,L27,L27,L27,L27,L27,L39,L39,L39,L46,L53,L56,L8,L27,L46,L27,L39,L32,L27,L27,L27,L8,L27,L39,L39,L56,L27,L39,L27,L27,L27,L32,L39,L27,L27,L39,L39,L39,L27,L27,L39,L27,L39,L39,L53,L53,L8,L28,L32,L32,L56,L56,L27,L28,L32,L46,L8,L27,L27,L27,L27,L27,L27,L32,L32,L46,L46,L56,L56,L27,L27,L46,L53,L27,L56,L28,L39,L39,L56,L27,L28,L28,L27,L27,L27,L27,L32,L39,L39,L39,L53,L56,L56,L53,L39,L39,L39,L8,L27,L27
logFC_Sex2,-0.6903649, 1.0765694, 0.8371633, 2.5257695, 2.1715262, 1.2200079,-1.2223415, 1.3652968, 1.1992924, 3.8604451, 4.3451698,-1.4231483,-1.8007386,-1.7261280, 1.0047322, 2.0960756, 2.0522175,-0.6700954,-1.4825763,-0.2521889, 0.9965411, 0.5320086, 1.5703192, 0.6739754, 0.6976609, 1.0168855,-0.4987541,-0.6295610, 1.6826994, 2.2582215,-0.5265998, 0.6462910, 1.3275422,-0.8173472, 3.0569195, 1.9125145, 1.3856453, 0.7229354,-0.9600835,-0.7027508,-0.5162137,-0.4242950,-0.4853081,-0.2961530, 1.8769202, 1.5253958, 0.5856184, 1.0256274, 2.0673217, 1.2505683,-0.6233679,-0.4495916, 1.8849756, 0.9696118, 0.2838121, 1.1760317, 1.1029244, 2.6749796, 2.5253102, 2.8643143, 3.0058557, 0.8737779, 0.6600771, 0.7445259, 0.2467629, 1.2259286, 0.3926083,-0.5085752, 0.8281288, 0.8195867, 1.4946494, 0.6412549,-0.9826856,-0.3873744, 1.1699570, 0.6026827, 1.0731922, 0.9867711, 0.7199071, 0.3649721, 0.3087780,-0.2936822, 3.6735653, 1.6330133, 2.3527226, 0.5682976, 2.6245301,-0.2176567, 0.3998377, 0.8387419, 0.7020612, 0.5568558, 0.7655385, 0.3280833, 1.2306388, 0.6048049, 1.1774056, 0.9460145,-0.7068235, 0.6837385, 0.7666070, 0.3021467, 1.0014335,-0.5708856,-0.4348013,-0.3493794,-0.5054646,-0.8890381, 1.0241267,-0.5449167,-0.2589089, 1.0909445, 0.8538396, 0.9323763, 1.1417273, 1.0876044, 0.6801674, 0.8577837, 0.7439716,-0.2809297,-0.1332884, 1.0399688, 1.5384176,-0.4304872,-0.4933441, 0.7317596, 0.4132853,-0.8351906, 0.4498413, 0.4223166,-0.3367647,-0.8417742, 1.0421228, 1.5962123,-0.2636194, 2.4017937,-0.4594951,-0.3603140, 0.3791228, 0.4238987, 0.1416204, 0.7642690,-0.1636486, 0.6635380, 0.6750685, 0.5401281, 0.5433234, 0.1523966,-0.3396142, 0.2720957, 0.3521977, 1.0909426, 0.1114631, 1.1271301, 0.6315457, 0.4509375
logFC_StatusNeuro_AD,-0.6232432216, 0.9992660620, 0.7167836178, 1.2082247199, 2.0979957612, 0.9671476578,-0.5142396009, 1.3895253957, 0.9281504215, 2.7145418443, 2.6813530542,-0.7462019670,-0.8158637905,-1.4353922315, 0.8092045050, 0.4522305880, 2.6109520146,-0.7871450927,-0.5008520826,-0.2464878114, 0.9867590484, 0.7393698204, 1.0488029742, 0.2501518059, 0.7000746932, 0.9110770742,-0.2398851083,-0.2934683139, 1.4039427264, 2.0526691524,-0.5829098529, 0.6774367783, 1.5249816215,-0.8133970463, 1.9105555759, 1.9427477255, 1.5304870013, 0.9887014733,-1.4126978609,-0.4646296325,-0.5170845710,-0.2584439651,-0.3990469706, 0.0164894458, 1.1181567573, 0.9607002333, 0.1306375238, 0.9386863895, 1.3584609954, 0.8094524757,-0.6607881812,-0.1705662833, 1.1110681729, 0.6765740264, 0.2948597538, 1.2745578681, 1.1853140333, 1.1669662913, 1.6700605067, 1.2280602023, 2.2380735647, 0.8777754661, 0.2586253013, 0.7544580580, 0.0509030576, 0.2083975562, 0.2262096411,-0.2830277611, 0.9371161610, 0.6987332403, 0.3904465018, 0.7089658483,-0.7856954199,-0.3254487446, 0.6979543190, 0.2809532971, 0.9289085712, 0.5299455404, 0.9045740371, 0.0840861010, 0.5121981645,-0.1979083561, 1.2219889571, 1.8220870838, 1.6446962437, 0.6469142874, 1.6431646523,-0.2057041902,-0.0003698292, 1.2570697513, 0.7342833912, 0.4350324986, 0.1017297521, 0.1742826885, 0.8647952467, 0.6508963853, 1.1948256277, 0.8620236124,-0.3403888079, 1.0250557072, 1.0477056704, 0.4304055994, 1.0171782322,-0.4827138062,-0.3394523047,-0.1472156505,-0.1423412803,-0.9383552532, 0.6088434576,-0.6871835732,-0.2526844001,-0.0608668876, 0.4516540925, 0.9332679560, 0.6810736290, 1.0085966060, 0.5189200009, 0.3919884202, 0.1580487246,-0.2328908218,-0.1799593499, 0.1669442627, 0.4890550681,-0.0638570632,-0.0238881762, 0.4798491576, 0.3628363138,-0.9524174308, 0.2160751243, 0.5938647623,-0.0175157081,-0.6689297441, 1.1962849884, 1.1583936326,-0.0685918398, 0.0775602674,-0.3728042862,-0.3976757513, 0.3156710717, 0.6282069423, 0.6736623682, 0.8162768695,-0.1287742097, 0.2360137085, 1.0684225669, 0.4752455726, 0.6189411307, 0.1625595371,-0.3330222683, 0.3948673696, 0.0757736771, 0.5862231766, 0.0091250511, 1.1159213211, 0.3926646182, 0.8521881662
logFC_Sex.StatusNeuro_AD, 0.9641439,-1.5905857,-1.2628904,-3.9948055,-2.6623377,-1.2380272, 1.1483286,-2.0473382,-2.0917993,-4.5428356,-5.3162519, 2.1380590, 2.0988513, 2.2548424,-1.5023836,-3.1622250,-2.9276776, 1.1056326, 1.8834230, 0.4265689,-1.0778920,-0.8806003,-2.9074199,-0.8758504,-0.9756871,-1.1813864, 0.8439974, 0.9744301,-2.9035531,-3.1486172, 0.6978717,-0.9261914,-2.0256508, 1.6638904,-3.2866369,-2.6838711,-1.6458227,-1.3705333, 2.2794556, 0.8993997, 1.2835384, 0.7467884, 1.0946128, 0.3513438,-2.5062755,-1.4691745,-0.8489629,-1.2444301,-4.0219499,-1.3369259, 0.9362760, 0.4987961,-2.7204827,-1.2117593,-0.6580606,-1.4074058,-1.1426691,-2.6931042,-3.1233545,-3.1646506,-3.2909224,-1.1593800,-1.0276281,-1.1794049,-0.7669503,-1.6417250,-0.5026660, 0.5181685,-0.9236756,-1.1320392,-1.7527276,-1.0460350, 1.1515826, 0.7312708,-2.0552625,-0.6845059,-1.2528128,-1.0969679,-1.1903674,-0.5366088,-0.8149472, 0.4310545,-3.2712248,-1.6872929,-2.9867243,-0.8907700,-2.9203213, 0.5949235,-0.6826285,-1.2749549,-0.7812725,-1.0164501,-1.1020214,-0.6745634,-1.7100156,-0.7888066,-1.2481898,-1.0466663, 0.5079547,-1.6160095,-1.2782014,-0.5635037,-0.8694312, 0.9730008, 1.0371782, 0.5553544, 0.5140425, 1.1232801,-0.9319368, 1.0777674, 0.5739565,-0.9281730,-0.8813689,-1.9470954,-1.9628215,-1.0871595,-0.8839577,-0.8764432,-0.7327029, 0.6528529, 0.3578089,-1.0837029,-1.6790339, 0.5833779, 0.5177437,-0.9478917,-0.7729864, 1.7948600,-0.6832506,-0.8476959, 0.3509908, 1.5087772,-1.4719132,-2.1963490, 0.2380404,-2.1201852, 0.6469062, 0.7232168,-0.5769372,-0.7544815,-0.9914542,-1.3770092, 0.2539921,-0.7665094,-1.5189650,-0.7959314,-0.8730011,-0.3358862, 0.4507134,-0.4844433,-0.5021172,-1.2344946,-0.8640242,-1.2123057,-0.7478855,-0.9755639
p_Sex2,1.795080e-05,2.295746e-04,8.318944e-04,5.854926e-03,4.661839e-04,3.435976e-05,1.810670e-06,4.961424e-03,1.646153e-02,1.611535e-03,1.805358e-03,7.087717e-03,1.527985e-03,1.404976e-03,6.382031e-03,9.126642e-03,6.784559e-03,2.310933e-02,1.721695e-03,2.491101e-02,6.962369e-04,2.362261e-02,5.048625e-02,4.061676e-03,1.252974e-02,2.655426e-03,4.440762e-02,2.063456e-02,5.152547e-02,2.009217e-02,8.794085e-03,1.783037e-02,2.769488e-02,1.206907e-01,4.241329e-03,2.812290e-02,6.812591e-03,9.343696e-02,1.936346e-01,1.044985e-02,2.101705e-01,7.150693e-02,1.482617e-01,8.976528e-03,2.082847e-02,1.091599e-03,2.866679e-02,1.043929e-02,1.262771e-01,4.150285e-03,4.041189e-02,5.680368e-03,4.741743e-02,1.630233e-02,1.920333e-01,1.251932e-02,4.996584e-03,5.483153e-03,2.201936e-02,1.190571e-02,1.304257e-02,2.846057e-02,5.545563e-02,5.709066e-02,3.322241e-01,4.194120e-02,1.831667e-02,3.975987e-03,9.621394e-03,3.828541e-02,2.408422e-02,8.156698e-02,1.520417e-02,1.371330e-01,1.183363e-01,1.360275e-02,1.798765e-02,1.208140e-02,9.705692e-02,4.930829e-02,2.865620e-01,5.883869e-02,3.986416e-03,9.754896e-03,4.243350e-02,8.592460e-02,2.084340e-02,3.139563e-01,1.109935e-01,8.052235e-02,1.765439e-02,1.397530e-01,6.103684e-02,1.896420e-01,6.245159e-02,4.272753e-02,1.351466e-02,1.954191e-02,1.360944e-04,2.663288e-01,1.175296e-01,1.582875e-01,3.611244e-03,1.372065e-01,3.029191e-01,1.021485e-01,1.298764e-02,4.323179e-02,5.758585e-03,2.391491e-01,2.623819e-01,8.018252e-03,1.891567e-02,2.664815e-01,1.849495e-01,1.575412e-02,6.236971e-02,1.829879e-02,1.398180e-02,2.985977e-01,3.510835e-01,3.058949e-02,4.329516e-02,7.321031e-02,2.202989e-02,6.339704e-02,1.999107e-01,3.101677e-01,1.082565e-01,2.374687e-01,2.452093e-02,2.018593e-01,9.707668e-02,8.215914e-02,9.637685e-03,1.081036e-02,9.698243e-02,2.532082e-01,1.353396e-01,2.137057e-01,7.454510e-01,2.100123e-01,1.333944e-01,4.286791e-02,3.050426e-01,1.181391e-01,1.486861e-01,2.976806e-01,8.361604e-02,1.973238e-01,1.131142e-01,4.369119e-02,7.664164e-01,3.852145e-02,6.432175e-02,3.143372e-01
p_StatusNeuro_AD,2.814980e-06,1.407457e-05,1.312890e-03,5.742933e-02,1.926709e-04,1.610424e-05,1.261198e-02,1.507250e-03,2.067248e-02,1.266517e-02,3.168848e-02,6.878267e-02,1.654209e-03,2.149585e-03,1.462044e-02,4.422742e-01,1.794301e-05,5.677721e-06,2.404229e-01,5.122049e-03,7.643245e-06,4.939881e-04,7.354092e-02,2.396662e-01,1.375842e-04,4.281376e-04,1.220412e-01,2.334820e-01,1.971758e-02,2.606684e-03,4.940734e-04,1.010049e-03,1.540124e-03,1.553458e-03,1.634321e-02,4.276502e-04,9.299316e-04,3.614102e-03,1.349547e-03,6.096083e-02,5.357219e-02,1.639718e-01,1.848826e-01,8.415920e-01,5.258996e-02,9.972591e-03,5.852887e-01,3.141715e-03,1.273226e-01,1.808068e-02,5.774557e-03,2.039059e-01,7.194773e-02,3.423674e-02,1.252465e-01,2.574108e-03,7.709907e-04,1.017024e-01,4.354015e-02,1.692159e-01,1.447240e-02,5.037178e-03,3.992538e-01,3.277752e-02,8.229658e-01,4.934587e-01,1.370886e-01,6.964105e-02,9.574682e-04,2.001387e-02,2.286960e-01,1.474327e-02,1.935293e-02,1.125972e-01,1.732475e-01,1.315183e-01,8.874024e-03,1.330385e-01,6.777170e-03,6.189090e-01,4.818390e-02,1.345581e-01,2.686434e-01,1.619626e-03,4.753463e-02,9.326120e-03,5.416173e-02,2.876407e-01,9.986435e-01,6.224615e-04,9.053867e-04,1.936727e-01,7.827965e-01,4.307490e-01,5.740951e-02,5.039677e-03,5.515443e-03,5.328022e-03,2.943877e-02,6.391325e-02,1.736739e-02,2.557969e-02,9.129736e-04,1.088306e-01,2.296380e-01,4.412438e-01,3.927354e-01,1.711033e-02,3.450085e-02,4.023461e-04,1.508387e-01,7.214027e-01,1.648065e-01,5.885350e-02,1.658726e-01,3.826083e-03,6.840619e-02,1.505931e-01,4.810093e-01,2.628598e-01,1.603441e-01,4.512119e-01,1.971358e-01,7.515014e-01,8.891693e-01,1.230708e-01,1.553608e-01,1.345865e-03,3.930316e-01,3.403916e-02,8.850274e-01,1.371582e-01,3.375419e-02,1.739186e-01,4.045723e-01,9.081773e-01,8.122837e-02,9.764358e-02,7.218080e-02,5.212648e-03,4.877652e-02,8.582690e-02,1.895658e-01,4.270317e-01,7.271442e-02,1.251832e-01,6.839008e-02,2.016394e-01,4.823165e-02,3.677621e-02,6.939943e-01,2.340960e-01,9.785522e-01,2.230160e-02,1.156804e-01,9.743680e-03
p.value,1.20E-7,1.43E-6,8.19E-6,4.93E-5,1.18E-4,1.54E-4,1.35E-4,1.87E-4,2.16E-4,3.60E-4,3.67E-4,3.16E-4,3.74E-4,3.55E-4,3.88E-4,4.46E-4,4.38E-4,5.20E-4,5.55E-4,7.61E-4,9.63E-4,1.10E-3,1.19E-3,1.31E-3,1.45E-3,1.77E-3,1.74E-3,1.92E-3,2.16E-3,2.27E-3,2.28E-3,2.47E-3,2.79E-3,2.86E-3,3.07E-3,3.43E-3,4.07E-3,4.75E-3,4.26E-3,4.59E-3,4.37E-3,4.74E-3,4.77E-3,4.72E-3,5.01E-3,5.07E-3,5.41E-3,5.84E-3,6.16E-3,6.37E-3,6.24E-3,6.30E-3,7.58E-3,7.94E-3,7.85E-3,8.35E-3,9.93E-3,8.51E-3,9.22E-3,9.96E-3,1.01E-2,9.88E-3,9.07E-3,8.82E-3,9.80E-3,9.41E-3,9.00E-3,9.92E-3,1.03E-2,1.08E-2,1.11E-2,1.17E-2,1.20E-2,1.25E-2,1.29E-2,1.31E-2,1.37E-2,1.42E-2,1.46E-2,1.45E-2,1.47E-2,1.41E-2,1.49E-2,1.58E-2,1.61E-2,1.62E-2,1.68E-2,1.68E-2,1.65E-2,1.75E-2,1.79E-2,1.79E-2,1.80E-2,1.81E-2,1.86E-2,1.88E-2,1.92E-2,2.04E-2,2.13E-2,2.19E-2,2.20E-2,2.22E-2,2.43E-2,2.42E-2,2.47E-2,2.41E-2,2.45E-2,2.49E-2,2.52E-2,2.56E-2,2.70E-2,2.73E-2,3.25E-2,3.06E-2,3.27E-2,3.06E-2,3.19E-2,3.22E-2,3.24E-2,3.18E-2,3.01E-2,3.03E-2,3.12E-2,3.08E-2,3.09E-2,3.36E-2,3.39E-2,3.49E-2,3.48E-2,3.58E-2,3.59E-2,3.71E-2,3.68E-2,3.71E-2,3.70E-2,3.82E-2,3.80E-2,4.13E-2,4.17E-2,4.45E-2,4.45E-2,4.50E-2,4.35E-2,4.36E-2,4.42E-2,4.49E-2,4.36E-2,4.28E-2,4.36E-2,4.61E-2,4.65E-2,4.69E-2,4.73E-2,4.80E-2,5.08E-2,5.13E-2
BH,8.901927e-06,2.728858e-04,7.863067e-04,9.421572e-03,1.303301e-03,1.376411e-02,1.294743e-02,8.969824e-03,1.376411e-02,2.128059e-02,2.128059e-02,2.529676e-03,2.992609e-03,1.705416e-02,1.709064e-02,2.128059e-02,2.090968e-02,4.163210e-03,4.442318e-03,1.065035e-02,3.676988e-02,2.409864e-02,4.533506e-02,4.181921e-02,4.617231e-02,4.818322e-02,2.005361e-02,2.685000e-02,6.195229e-02,6.195229e-02,8.424155e-02,5.892588e-02,5.925472e-02,2.005361e-02,7.288190e-02,7.288190e-02,2.241248e-02,8.804380e-02,1.704667e-02,1.835270e-02,2.037498e-02,3.314892e-02,3.338434e-02,1.164274e-01,9.561026e-02,8.804380e-02,1.534771e-01,9.298638e-02,1.069867e-01,9.352269e-02,2.494098e-02,1.164897e-01,1.203291e-01,1.082697e-01,1.534771e-01,2.257654e-02,2.257654e-02,1.203291e-01,1.203291e-01,1.203291e-01,1.203291e-01,1.257878e-01,1.534771e-01,1.881781e-01,1.881781e-01,9.969351e-01,1.319812e-01,1.468257e-01,2.257654e-02,1.287305e-01,9.969351e-01,1.319219e-01,1.534771e-01,5.842220e-02,1.443834e-01,1.376460e-01,1.376460e-01,2.598279e-02,1.398646e-01,2.015764e-01,2.015764e-01,1.744368e-01,1.585247e-01,1.534771e-01,1.604423e-01,1.475384e-01,1.604423e-01,7.841716e-02,1.534771e-01,1.484622e-01,1.484622e-01,1.534771e-01,1.534771e-01,1.534771e-01,1.695165e-01,1.495750e-01,1.534771e-01,1.562365e-01,2.332439e-01,2.332439e-01,1.953082e-01,1.953082e-01,3.816332e-02,6.441192e-02,8.653781e-02,8.417980e-02,2.279625e-01,2.279625e-01,1.850420e-01,6.839383e-02,8.898177e-02,9.969351e-01,4.467845e-02,2.659656e-01,2.715167e-01,2.023735e-01,2.023735e-01,2.023735e-01,2.023735e-01,8.898177e-02,8.420927e-02,9.969351e-01,9.969351e-01,2.279625e-01,2.279625e-01,2.023735e-01,2.023735e-01,9.969351e-01,2.484217e-01,2.071815e-01,2.279625e-01,7.417440e-02,2.717733e-01,2.694618e-01,2.279625e-01,3.040627e-01,6.611575e-02,6.611575e-02,2.323570e-01,2.323570e-01,2.323570e-01,2.323570e-01,1.016141e-01,2.694618e-01,2.694618e-01,2.694618e-01,2.484217e-01,2.303862e-01,2.303862e-01,2.484217e-01,3.189721e-01,2.694618e-01,2.694618e-01,5.871050e-02,2.350300e-01,2.350300e-01
BHcombined,0.000160440,0.000955955,0.003650010,0.016478525,0.029414000,0.029414000,0.029414000,0.031252375,0.032088000,0.034583733,0.034583733,0.034583733,0.034583733,0.034583733,0.034583733,0.035076588,0.035076588,0.038624444,0.039054474,0.050872850,0.061311000,0.066850000,0.069175217,0.072977917,0.077546000,0.087647778,0.087647778,0.091680000,0.098334194,0.098334194,0.098334194,0.103199687,0.112465294,0.112465294,0.117274000,0.127386389,0.144942955,0.144942955,0.144942955,0.144942955,0.144942955,0.144942955,0.144942955,0.144942955,0.147360652,0.147360652,0.153897234,0.162668333,0.163782500,0.163782500,0.163782500,0.163782500,0.191216226,0.193014182,0.193014182,0.198583824,0.198583824,0.198583824,0.198583824,0.198583824,0.198583824,0.198583824,0.198583824,0.198583824,0.198583824,0.198583824,0.198583824,0.198583824,0.199581159,0.206280000,0.209023944,0.217262500,0.219780822,0.225844595,0.229964000,0.230456579,0.237881818,0.239681707,0.239681707,0.239681707,0.239681707,0.239681707,0.240015663,0.251483333,0.251853488,0.251853488,0.252377528,0.252377528,0.252377528,0.257443617,0.257443617,0.257443617,0.257443617,0.257443617,0.261770526,0.261829167,0.264643299,0.278314286,0.287657576,0.290994118,0.290994118,0.290994118,0.308252778,0.308252778,0.308252778,0.308252778,0.308252778,0.308252778,0.309104587,0.311156364,0.325216216,0.325893750,0.349759200,0.349759200,0.349759200,0.349759200,0.349759200,0.349759200,0.349759200,0.349759200,0.349759200,0.349759200,0.349759200,0.349759200,0.349759200,0.356533333,0.356884252,0.361715504,0.361715504,0.366399237,0.366399237,0.367427407,0.367427407,0.367427407,0.367427407,0.372798540,0.372798540,0.400131159,0.401100000,0.403791946,0.403791946,0.403791946,0.403791946,0.403791946,0.403791946,0.403791946,0.403791946,0.403791946,0.403791946,0.410904667,0.411725166,0.412534868,0.413333987,0.416727273,0.421606135,0.421606135
